,event_year,event_month,district,landslide_size,fatality_count,injury_count,latitude,longitude
0,2009,07,Dailekh,medium,1.0,0.0,28.8378,81.708
1,2009,07,Kaski,medium,3.0,0.0,28.2039,83.9806
2,2009,07,Tanahu,medium,2.0,0.0,27.9447,84.2279
3,2009,07,Kathmandu,large,13.0,0.0,28.0,85.71
4,2009,07,Syangja,medium,5.0,0.0,28.1046,83.8791
5,2011,07,Arghakhanchi,medium,2.0,0.0,27.7394,83.5754
6,2011,07,Baglung,medium,0.0,0.0,28.3683,83.2934
7,2011,07,Gulmi,medium,0.0,0.0,28.0889,83.2934
8,2011,09,Rolpa,medium,7.0,0.0,28.3875,82.6474
9,2013,07,Salyan,medium,0.0,0.0,28.4311,82.1847
10,2013,07,Rukum,medium,0.0,0.0,28.6202,82.4393
11,2016,09,Kaski,large,4.0,2.0,28.145796,84.06901500000001
12,2017,07,Chitwan,medium,0.0,0.0,27.83196401,84.54704620999999
13,2016,09,Dhading,small,1.0,0.0,27.769034,84.85463200000001
14,2016,09,Taplejung,large,4.0,10.0,27.513641,87.640957
15,2016,09,Pasang Lhamu Highway,large,0.0,0.0,27.833565,85.201673
16,2017,07,Bhojpur,medium,2.0,0.0,27.167781,87.055222
17,2016,09,Myagdi,medium,0.0,0.0,28.377188,83.498645
18,2017,07,Sindhupalchok,small,0.0,0.0,27.90362599,85.91050294
19,2017,07,"Pasang Lhamu Highway, Nepal",unknown,0.0,0.0,27.878121,85.143062
20,2016,08,Dhading,large,0.0,0.0,28.069957,85.01
21,2016,08,"Jugu, Nepal",small,2.0,1.0,27.6835,86.1804
22,2016,08,"Galeshwor, Beni, Nepal",small,1.0,0.0,28.372874000000003,83.567989
23,2017,06,"Talladehi, Nepal",medium,0.0,0.0,29.60012,80.63000199999999
24,2016,08,Mugu,large,0.0,0.0,29.48,82.2896
25,2017,06,Lamjung,medium,0.0,0.0,28.301686,84.386742
26,2017,06,Kaski,medium,0.0,1.0,28.28120123,83.86441477000001
27,2017,06,Taplejung,medium,0.0,0.0,27.33861278,87.67107225000001
28,2017,06,Taplejung,medium,0.0,0.0,27.33861278,87.67107225000001
29,2017,07,"Rajwara, Gaumukhi Rural Municipality, Nepal",medium,3.0,0.0,28.27909521,83.00633062
30,2017,06,Chitwan,small,0.0,0.0,27.8077847,84.43754872
31,2017,06,"Matepani Gupta monastery, Pokhara, Nepal",small,0.0,0.0,28.21676766,84.00622259000001
32,2016,08,Makawanpur,small,2.0,0.0,27.503555,85.21970900000001
33,2017,07,"Hosrangdi, Mahashila Rural Municipality, Nepal",medium,3.0,0.0,28.06986667,83.65247597
34,2016,08,Dolakha,large,7.0,0.0,28.007828,86.191717
35,2017,07,"Lamachaur, Pokhara, Nepal",small,1.0,0.0,28.27254506,83.95706865
36,2017,07,Tanahu,large,0.0,0.0,28.107142,84.30797700000001
37,2017,06,"Amden (??), Myadlung Municipality, Eastern Development Region, Nepal",medium,3.0,3.0,27.18732399,87.50256183
38,2016,08,"Jubitha, Nepal",small,0.0,0.0,29.132062,81.811777
39,2017,07,"Pasryanga cliff (??), Pokhara, Nepal",small,1.0,0.0,28.24831087,83.97447829000001
40,2016,09,Chitwan,medium,0.0,0.0,27.767046,84.469745
41,2016,09,Bara,medium,4.0,0.0,27.943851,83.805661
42,2016,08,"Khabang, Nepal",small,0.0,0.0,28.239,82.9415
43,2008,07,Achham,medium,0.0,0.0,29.0833,81.3333
44,2015,09,Dumre,medium,0.0,0.0,26.9597,86.5598
45,2016,02,base of Mt Annapurna South at Narchyang VDC,medium,0.0,5.0,28.5873,83.7508
46,2011,07,Tanahu,medium,0.0,0.0,27.99134853,84.06527738
47,2016,07,"Dhuseni Shivalaya, Kavre, Nepal",small,1.0,2.0,27.5269,85.5641
48,2014,02,Mahakali Hwy 10200,large,0.0,0.0,29.58,80.67
49,2015,08,"Kusma Municipality-1, Maldhunga",medium,0.0,0.0,28.2576,83.6182
50,2010,08,Nawalparasi,medium,0.0,0.0,27.59,83.88
51,2007,08,"Hetuda, Kogate",medium,11.0,0.0,27.4211,85.0249
52,2011,07,Thumki village (200 km northwest of Katmandu),large,6.0,0.0,28.15279111,84.18262
53,2010,07,Dailekh,medium,0.0,0.0,29.0399,81.7191
54,2010,09,Sindhupalchok,medium,2.0,0.0,27.7773,85.8416
55,2010,08,Udayapur,medium,0.0,0.0,27.2485,86.6444
56,2011,07,Nuwakot,medium,3.0,0.0,27.8871,83.9704
57,2013,01,Kalikot,medium,0.0,0.0,29.1426,81.8833
58,2009,08,Tanahu,medium,0.0,0.0,27.9504,84.3075
59,2015,10,"Khamlalung 57500, Nepal",medium,2.0,2.0,27.2625,87.6017
60,2015,07,Parbat,small,0.0,0.0,28.2658,83.6117
61,2010,01,Pyuthan,medium,1.0,0.0,28.12,82.86
62,2010,08,Myagdi,medium,0.0,0.0,28.3401,83.5983
63,2011,07,Bhimad-8 and Jemune-6,medium,0.0,0.0,27.9939,84.094
64,2009,10,"Bindavasini VDCs, Accham district",medium,3.0,0.0,29.2944,81.3
65,2014,07,Lahan,small,0.0,0.0,28.8389,82.2873
66,2014,08,Putalibazaar Municipality-9,medium,1.0,0.0,28.0989,83.8734
67,2014,08,‘Typical Restaurant’ on the banks of Phewa Lake,small,3.0,0.0,28.2134,83.9557
68,2014,08,Karauja VDC,medium,0.0,0.0,28.3466,85.0058
69,2013,09,Baglung,medium,0.0,0.0,28.3922,83.1913
70,2015,05,Kaphaldanda in Ramche VDC -9,medium,0.0,0.0,28.3928,83.5942
71,2013,09,Baglung,medium,0.0,0.0,28.2399,83.2266
72,2013,08,Jajarkot,medium,0.0,0.0,28.935,82.3125
73,2013,08,Myagdi,medium,0.0,0.0,28.3742,83.5214
74,2011,09,Gorkha,medium,0.0,0.0,28.4115,84.7943
75,2010,09,Baitadi,medium,0.0,0.0,29.477,80.3491
76,2013,09,"Vedetar, Eastern Region",medium,0.0,0.0,26.8722,87.3303
77,2015,05,Barpak,small,0.0,0.0,28.2135,84.7277
78,2007,09,Rautahat,medium,1.0,0.0,27.9167,84.25
79,2010,07,"Phedikhola(?), Shyangja district",medium,2.0,0.0,28.0063,83.7826
80,2014,07,Lele,small,3.0,0.0,27.5687,85.34
81,2013,06,Rolpa,medium,0.0,0.0,28.3536,82.3997
82,2016,06,"Mechi Highway at  Lyangba, Dokhu, Nepal",medium,0.0,0.0,26.8823,87.9125
83,2016,06,Taplejung,medium,2.0,2.0,27.6276,87.7924
84,2010,05,Syangja,medium,3.0,0.0,28.11,83.68
85,2011,08,Dalit settlement in Seri VDC-4,medium,0.0,0.0,29.5311,81.9616
86,2008,09,Bardiya,medium,6.0,0.0,28.51,81.48
87,2011,09,Sankhuwasabha,medium,5.0,0.0,27.4082091,87.29003611
88,2010,09,"Araniko hwy between Tatopani and Bahrabise, Sindhupalchowk, Bagmati",medium,0.0,0.0,27.8732,85.9259
89,2013,07,Dang,medium,0.0,0.0,28.0583,82.402
90,2015,06,Taplejung,large,53.0,8.0,27.36,87.6681
91,2010,07,"Darechowk(Darechok), Kahare(Khahare) River, Prithvi highway between Mugling and Narayanghat",medium,0.0,0.0,27.81963827,84.46652548
92,2015,08,Suikhet in Hemja,medium,0.0,0.0,28.2887,83.8974
93,2013,06,Taplejung,large,9.0,0.0,27.4513,87.6093
94,2013,07,The Mugling-Narayanghat Road Section Near Dasdhunga,medium,0.0,0.0,27.7801,84.4384
95,2007,09,Sindhuli,large,3.0,0.0,27.2667,85.9667
96,2015,08,Lamjung,medium,0.0,0.0,28.2872,84.2015
97,2011,07,Udayapur,medium,0.0,0.0,26.8998,86.7014
98,2009,09,Kathmandu,large,14.0,0.0,27.4167,86.6667
99,2012,09,Syangja,medium,4.0,0.0,28.023,83.8049
100,2016,04,Dolakha,medium,1.0,1.0,27.5108,86.02
101,2011,07,Rukum,large,13.0,0.0,28.7434,82.4753
102,2016,06,Darchula,medium,1.0,0.0,29.6394,80.7179
103,2011,07,Bandipur,medium,1.0,0.0,27.9333,84.4167
104,2011,07,Kathmandu,medium,1.0,0.0,28.0889,85.6352
105,2011,07,Kaski,medium,2.0,0.0,28.2638,83.9725
106,2011,07,Khairenitar-Bhimad Road,medium,0.0,0.0,28.0075,84.088
107,2013,07,Syangja,medium,1.0,0.0,27.9142,83.7876
108,2013,07,Solukhumbu,medium,0.0,0.0,27.5001,86.8669
109,2010,08,Bajura,medium,1.0,0.0,29.4605,81.682
110,2009,09,Doti,medium,3.0,0.0,29.3083,81.057
111,2011,08,Mugu,medium,0.0,0.0,29.5023,82.2504
112,2016,08,Dhading,medium,0.0,0.0,27.8009,84.8423
113,2007,07,Gulmi,medium,0.0,0.0,28.0764,83.2519
114,2015,08,Daud VDC-1,medium,1.0,0.0,29.3064,81.0561
115,2015,06,Budhigandaki River near Khanibesi,medium,0.0,0.0,28.1881,84.8711
116,2015,05,"Miteripul, Chaku, Jhyalebhir, Nayapur, Daklang Paharo and Jhirpu, Tatopani along Araniko Highway",small,16.0,0.0,27.9715,85.9623
117,2013,12,Sarmoli Vdc,medium,2.0,2.0,29.3577,80.3109
118,2013,06,Gamgadhi-Nagma Road,medium,0.0,0.0,29.5326,82.1482
119,2010,08,"Batase and Sisne villages, Lelep VDC, ",medium,0.0,0.0,27.7276,88.0446
120,2010,08,"Kakanda VDC-7(?), Makwanpur district",medium,1.0,0.0,27.6041,84.8603
121,2010,07,Dhading,medium,5.0,0.0,28.05,84.95
122,2016,07,Mugu,medium,0.0,0.0,29.5679,82.283
123,2015,08,Dailekh,medium,3.0,1.0,28.8425,81.7097
124,2011,07,Achham,medium,3.0,0.0,29.0396,81.2519
125,2013,07,Kalikot,medium,0.0,0.0,29.1309,81.6631
126,2016,06,Rasuwa,small,0.0,0.0,28.0336,85.2178
127,2010,09,"Sisneri rd(?), between Hetuda and Pharping",medium,0.0,0.0,27.509,85.1505
128,2007,08,Baglung,medium,5.0,0.0,28.3323,83.7438
129,2007,07,Bajura,medium,3.0,0.0,29.356,81.3098
130,2011,06,"Bhanumati-8, Damauli",medium,1.0,0.0,28.0004,84.033
131,2011,08,Kathmandu,medium,5.0,0.0,28.799,82.4712
132,2012,06,Palpa,medium,0.0,0.0,27.828,83.6349
133,2014,08,Rak-2,medium,2.0,2.0,28.4414,82.624
134,2013,07,Chitwan,medium,0.0,0.0,27.5,84.6663
135,2013,07,Dolakha,medium,0.0,0.0,27.7898,86.3499
136,2016,07,Gulmi,medium,1.0,0.0,28.1347,83.2369
137,2014,08,Adhikarichaur-4,medium,1.0,0.0,28.4333,83.1202
138,2010,08,Gulmi,medium,0.0,0.0,28.1171,83.2497
139,2013,06,Dailekh,medium,7.0,0.0,28.8519,81.7086
140,2016,09,Deviisthan-5,medium,1.0,0.0,28.4499,83.3453
141,2013,09,Baglung,medium,0.0,0.0,28.3328,83.3742
142,2010,07,"Hemja village, Lekhnath municipality",medium,0.0,0.0,28.1605,84.0907
143,2008,09,"Siddhartha Highway, near Siddhababa Temple",medium,0.0,0.0,27.72,83.4724
